Test Cubic Splines  (Data from Chapter 7)
          17   0.000000       0.000000
    0.00000        1361.32
    10.0000        1321.11
    20.0000        1213.94
    30.0000        1074.51
    40.0000        944.439
    50.0000        855.572
    60.0000        818.633
    70.0000        821.905
    80.0000        840.213
    90.0000        849.560
    100.000        840.213
    110.000        821.905
    120.000        818.633
    130.000        855.571
    140.000        944.437
    150.000        1074.51
    160.000        1213.93

