Test Data for LorenFit - Two Peaks
  60
  0.0000     2 0 
  0.0500     3 0 
  0.1000    10 0 
  0.1500    12 0 
  0.2000     8 0 
  0.2500     9 0 
  0.3000    17 0 
  0.3500    22 0 
  0.4000    33 0 
  0.4500    18 0 
  0.5000    26 0 
  0.5500    31 0 
  0.6000    39 0 
  0.6500    54 0 
  0.7000    61 0 
  0.7500    84 0 
  0.8000    71 0 
  0.8500    73 0 
  0.9000    76 0 
  0.9500   106 0 
  1.0000    96 0 
  1.0500    90 0 
  1.1000    62 0 
  1.1500    66 0 
  1.2000    63 0 
  1.2500    56 0 
  1.3000    49 0 
  1.3500    44 0 
  1.4000    51 0 
  1.4500    61 0 
  1.5000    56 0 
  1.5500    58 0 
  1.6000    53 0 
  1.6500    52 0 
  1.7000    34 0 
  1.7500    55 0 
  1.8000    43 0 
  1.8500    43 0 
  1.9000    66 0 
  1.9500    57 0 
  2.0000    56 0 
  2.0500    54 0 
  2.1000    46 0 
  2.1500    49 0 
  2.2000    61 0 
  2.2500    50 0 
  2.3000    81 0 
  2.3500    58 0 
  2.4000    63 0 
  2.4500    59 0 
  2.5000    48 0 
  2.5500    52 0 
  2.6000    67 0 
  2.6500    42 0 
  2.7000    62 0 
  2.7500    46 0 
  2.8000    38 0 
  2.8500    56 0 
  2.9000    43 0 
  2.9500    59 0 

