Monte Carlo Test Data for Example 10.1  
1000  
1      5.31    1920.1     26.01      1.79
2      5.40    2002.6     22.03      1.38
3      5.47    1986.8     13.13      0.64
4      4.75    1940.7     12.47      0.66
5      5.03    2180.3     10.13      0.39
6      4.36    2127.5     16.49      0.95
7      4.73    2117.7     13.90      0.72
8      4.87    1855.5     17.04      1.09
9      4.76    1890.8     21.69      1.49
10      5.81    2093.0     30.13      1.93
11      5.22    2081.7     16.31      0.88
12      5.19    2024.5     13.21      0.66
13      4.55    1979.9     11.39      0.57
14      5.40    2056.4     25.77      1.64
15      4.20    2090.0     21.36      1.36
16      5.32    2102.1     36.14      2.43
17      4.63    1849.5     13.86      0.83
18      4.61    2068.8     16.24      0.93
19      4.46    1943.9     11.22      0.58
20      5.38    1992.3     36.24      2.57
21      5.00    1986.4     28.84      1.99
22      4.84    1947.0     19.04      1.21
23      4.50    1765.1     16.04      1.08
24      5.10    2249.0     14.04      0.66
25      3.66    1951.5     19.32      1.33
26      4.93    1754.4     14.84      0.94
27      4.68    2072.2     36.03      2.51
28      5.95    1949.0     21.34      1.31
29      4.81    2047.2     13.69      0.72
30      6.52    2004.3     11.07      0.38
31      5.68    2038.3     23.50      1.45
32      4.19    2088.2     19.80      1.24
33      3.65    1886.0     12.78      0.80
34      5.32    1957.1     20.46      1.28
35      4.33    1911.4     16.89      1.09
36      4.22    1949.6     14.92      0.91
37      5.22    2083.1     20.22      1.19
38      5.62    2074.9     30.18      1.96
39      5.52    2090.9     10.27      0.38
40      4.51    2024.1     14.06      0.78
41      4.32    2206.7     17.50      0.99
42      4.71    1887.1     10.08      0.47
43      5.14    1959.2     10.54      0.46
44      5.12    1963.0     11.03      0.50
45      5.95    1952.0     15.45      0.81
46      4.80    1974.0     16.77      1.01
47      4.91    1952.3     13.21      0.71
48      5.34    2122.3     29.79      1.91
49      5.01    1941.0     19.56      1.24
50      4.64    2157.3     31.33      2.05
51      4.12    2097.6     17.80      1.08
52      3.86    2017.1     28.93      2.06
53      5.13    2055.9     10.69      0.45
54      4.94    1878.8     17.79      1.13
55      5.14    1948.4     21.20      1.37
56      5.44    1976.5     27.87      1.88
57      3.97    1933.3     37.77      2.90
58      5.10    1946.4     22.45      1.48
59      5.48    2103.4     36.52      2.45
60      4.38    1958.7     34.75      2.57
61      4.01    2047.3     38.12      2.76
62      5.05    1801.0     13.92      0.82
63      4.97    2061.1     11.18      0.50
64      4.45    2035.6     19.66      1.24
65      5.08    2034.8     15.14      0.82
66      4.99    2109.7     21.76      1.32
67      6.36    2060.0     10.81      0.36
68      5.62    2033.4     20.00      1.17
69      4.87    2127.5     15.08      0.80
70      4.99    1977.5     18.23      1.11
71      4.29    1909.3     12.32      0.70
72      5.43    2012.1     14.75      0.77
73      5.23    1742.5     11.49      0.60
74      5.24    1864.0     11.23      0.53
75      5.79    2051.9     18.51      1.03
76      4.54    2060.8     11.23      0.54
77      5.18    1774.0     11.43      0.58
78      5.16    1944.6     14.25      0.78
79      5.81    2194.6     13.88      0.61
80      5.67    2009.1     19.75      1.16
81      4.94    1796.6     26.32      1.97
