Legendre Angular Distribution Test Data
   17
     0.000      1400         0
    10.000      1386         0
    20.000      1130         0
    30.000      1045         0
    40.000       971         0
    50.000       862         0
    60.000       819         0
    70.000       808         0
    80.000       862         0
    90.000       829         0
   100.000       824         0
   110.000       839         0
   120.000       819         0
   130.000       901         0
   140.000       925         0
   150.000      1044         0
   160.000      1224         0
