ThermocoupleTest Data
   21
       0.0    -0.849      0.05
       5.0    -0.738      0.05
      10.0    -0.537      0.05
      15.0    -0.354      0.05
      20.0    -0.196      0.05
      25.0    -0.019      0.05
      30.0     0.262      0.05
      35.0     0.413      0.05
      40.0     0.734      0.05
      45.0     0.882      0.05
      50.0     1.258      0.05
      55.0     1.305      0.05
      60.0     1.541      0.05
      65.0     1.768      0.05
      70.0     1.935      0.05
      75.0     2.147      0.05
      80.0     2.456      0.05
      85.0     2.676      0.05
      90.0     2.994      0.05
      95.0     3.200      0.05
     100.0     3.318      0.05
